id,file,duration_seconds,start_seconds,end_seconds,label,title,subtitle
"01","01-01-deterministic-boundary.png","10","0","10","Hook","别把 LLM 当确定性系统","算钱 / 查实时数据 / 执行线上命令"
"02","02-02-not-database-calculator-policy.png","15","10","25","Boundary","LLM 不是 数据库 / 计算器 / 权限系统","它不是万能后端，而是智能组件"
"03","03-03-probability-generator.png","17","25","42","Model Nature","LLM = 上下文中的概率生成器","根据当前上下文生成最可能的下一个 token"
"04","04-04-good-at-semantic-tasks.png","23","42","65","Strengths","它擅长 语义清晰的任务","总结、改写、分类、抽取、代码片段、规划"
"05","05-05-feedback-json-example.png","20","65","85","Example","客户反馈分类 适合 LLM","标签有限、输入短、输出可用 Schema 约束"
"06","06-06-weaknesses.png","20","85","105","Limits","它不擅长 确定性与高风险任务","精确计算、实时事实、长期记忆、高风险执行"
"07","07-07-compound-interest-tool.png","20","105","125","Tool Use","复利计算 模型选公式，工具算结果","FV = P × (1 + r)^n"
"08","08-08-agent-engineering-system.png","23","125","148","Architecture","Agent = LLM + 工程系统","模型不是系统，Runtime 才是系统"
"09","09-09-six-modules.png","17","148","165","Runtime","RAG / Tool / Memory Policy / Eval / Trace","六个模块把模型变成可工作的 Agent"
"10","10-10-first-principle.png","15","165","180","Takeaway","成熟 AI 架构 知道什么时候不让模型单独决定","让 LLM 做理解、生成、归纳和规划"
